label,pixel1,pixel2,pixel3,pixel4,pixel5,pixel6,pixel7,pixel8,pixel9,pixel10,pixel11,pixel12,pixel13,pixel14,pixel15,pixel16,pixel17,pixel18,pixel19,pixel20,pixel21,pixel22,pixel23,pixel24,pixel25,pixel26,pixel27,pixel28,pixel29,pixel30,pixel31,pixel32,pixel33,pixel34,pixel35,pixel36,pixel37,pixel38,pixel39,pixel40,pixel41,pixel42,pixel43,pixel44,pixel45,pixel46,pixel47,pixel48,pixel49,pixel50,pixel51,pixel52,pixel53,pixel54,pixel55,pixel56,pixel57,pixel58,pixel59,pixel60,pixel61,pixel62,pixel63,pixel64,pixel65,pixel66,pixel67,pixel68,pixel69,pixel70,pixel71,pixel72,pixel73,pixel74,pixel75,pixel76,pixel77,pixel78,pixel79,pixel80,pixel81,pixel82,pixel83,pixel84,pixel85,pixel86,pixel87,pixel88,pixel89,pixel90,pixel91,pixel92,pixel93,pixel94,pixel95,pixel96,pixel97,pixel98,pixel99,pixel100,pixel101,pixel102,pixel103,pixel104,pixel105,pixel106,pixel107,pixel108,pixel109,pixel110,pixel111,pixel112,pixel113,pixel114,pixel115,pixel116,pixel117,pixel118,pixel119,pixel120,pixel121,pixel122,pixel123,pixel124,pixel125,pixel126,pixel127,pixel128
0,0,0,0,2,0,0,0,0,9,12,9,71,3,59,0,0,8,159,1,179,62,0,2,1,1,3,120,399,1,3,4,9,176,15,56,435,468,19,1,0,21,26,152,235,497,3,0,4,0,16,3,230,148,49,7,0,7,0,73,1568,539,48,19,3,1,0,264,242,260,108,39,1,0,1,176,3,0,35,5,3,1,0,11,0,31,3,0,2,2,0,0,2,6,22,0,20,25,0,8,4,88,8,0,9,19,102,0,9,7,63,93,1,1,6,119,0,0,66,217,0,0,112,208,1,5,39,207,0
0,0,1,0,19,268,0,0,0,0,0,3,163,27,97,1,0,1,100,0,254,92,39,3,0,0,1,83,419,68,140,5,7,14,13,45,9,92,24,149,3,0,10,108,60,30,2,0,3,0,4,3,65,46,43,7,0,0,0,106,1615,479,5,18,0,0,0,397,415,448,118,37,3,0,5,220,3,2,51,3,8,0,0,22,0,81,2,0,1,0,8,13,1,4,24,0,0,0,0,1,0,95,11,0,0,17,169,0,0,6,70,111,3,23,89,58,0,0,71,236,4,14,35,96,0,3,45,129,0
0,0,1,0,14,284,0,0,0,0,5,5,137,39,95,0,0,1,126,3,294,99,46,3,0,1,2,65,432,65,147,4,8,0,15,46,7,95,22,172,2,0,20,100,53,30,4,15,4,1,11,0,58,49,45,6,0,0,0,110,1639,492,14,19,0,0,1,420,441,508,130,44,4,0,1,228,0,2,71,11,9,2,0,22,0,89,3,0,2,4,0,17,0,15,20,0,0,0,2,7,4,96,8,0,7,0,142,0,7,7,72,119,0,5,63,62,3,0,69,247,1,0,103,108,1,7,48,145,0
0,0,3,0,23,323,0,0,3,11,0,0,124,40,103,0,0,3,123,4,336,125,44,2,0,0,6,86,405,84,149,14,8,0,14,41,1,88,23,173,0,0,3,76,60,28,5,0,0,0,3,3,59,54,49,15,0,0,0,110,1566,502,14,44,0,1,0,393,432,505,119,45,15,0,1,209,2,3,63,15,16,1,1,24,0,84,3,0,0,2,2,16,1,5,23,5,0,14,17,9,4,96,13,0,8,7,146,0,8,2,72,110,0,16,61,72,0,0,70,240,0,7,77,158,1,3,49,131,0
0,1,0,0,19,339,0,0,0,5,0,3,156,48,110,0,0,3,122,2,304,117,50,0,0,1,0,48,395,20,146,33,12,0,14,36,1,277,19,6,1,0,10,11,39,224,4,0,6,0,2,0,11,73,84,6,0,0,0,17,200,718,60,16,1,0,0,43,21,96,133,38,0,0,13,3,1,0,96,13,11,0,3,34,0,119,1,1,3,20,0,31,1,7,42,0,0,0,3,19,3,0,16,0,6,0,34,0,19,1,97,75,0,7,11,116,2,0,79,162,0,1,100,475,9,3,53,226,0
0,0,0,0,7,195,0,0,0,0,1,3,87,3,85,6,0,0,83,3,304,83,51,27,0,0,1,70,586,96,157,15,51,12,7,81,7,128,25,111,2,0,6,103,86,21,0,0,4,0,3,0,69,48,43,4,0,0,0,90,995,460,8,11,0,36,0,174,452,622,93,39,1,0,0,97,3,4,36,4,3,3,11,17,0,102,3,1,0,0,36,4,4,6,35,0,0,0,3,19,4,102,11,20,4,1,183,0,9,1,62,116,1,4,62,101,7,0,81,247,0,2,114,103,1,2,60,221,8
0,0,1,0,15,224,3,0,0,1,5,2,150,44,94,0,0,3,112,1,298,96,56,6,0,0,0,54,461,57,151,17,60,0,13,94,0,117,31,156,1,0,10,115,60,20,0,0,4,0,4,0,87,51,46,6,2,0,0,100,1315,521,7,9,1,0,2,307,462,606,123,36,1,0,6,196,0,4,68,8,7,1,12,23,0,86,0,0,1,14,0,21,8,7,36,0,0,0,3,29,3,97,9,0,3,0,129,0,9,1,69,104,0,4,63,76,1,0,78,127,0,1,120,145,2,1,71,28,3
0,6,1,3,19,291,0,0,1,1,0,3,143,38,98,0,5,2,103,3,259,99,53,3,0,0,1,54,378,22,127,11,56,0,44,80,4,92,29,171,0,0,4,121,71,22,3,0,5,0,4,0,79,59,47,5,1,2,4,103,1332,547,4,8,1,0,0,328,472,622,121,28,0,0,1,159,0,3,73,18,11,0,0,87,0,92,15,7,3,3,11,42,0,6,31,0,0,0,0,16,2,92,0,0,5,0,112,0,8,3,59,103,6,0,62,111,7,0,76,225,0,0,124,142,2,1,57,204,0
0,5,2,3,20,294,1,11,0,0,0,3,131,37,99,2,0,1,107,3,265,100,52,0,0,0,1,72,414,56,143,0,54,2,32,72,1,88,30,169,2,0,15,105,64,22,4,0,4,0,3,1,71,56,48,4,3,9,0,108,1384,579,9,17,0,24,0,336,489,639,135,47,1,0,1,187,3,2,70,9,19,14,0,20,0,86,16,3,8,0,38,20,1,3,32,0,0,0,3,0,4,96,0,0,5,0,126,0,9,3,59,112,1,2,64,118,7,0,87,206,0,1,125,150,1,3,49,195,0
0,4,2,3,19,194,0,0,0,0,1,6,131,1,85,1,3,1,106,2,269,103,25,7,2,1,1,71,424,64,158,0,56,0,17,83,351,455,27,6,1,0,0,145,152,271,3,0,3,0,3,4,83,60,49,6,3,6,1,104,1080,526,8,14,2,4,10,250,331,465,131,45,1,8,0,159,2,3,69,7,7,0,0,24,0,98,14,1,0,15,0,18,1,4,33,0,0,0,2,34,0,109,13,0,6,0,199,3,6,0,57,121,0,4,61,59,0,0,85,235,0,3,109,91,0,26,63,118,1
